% | 1 16
1 | 1 1
1,000 | 0 2
1,000 more | 0 1
1,200 | 0 1
1,400 | 0 1
1.3 million | 0 1
10 | 1 6
10,283 | 0 1
100 | 0 3
10000 | 0 1
101st | 0 1
10440 | 0 1
11 | 0 3
11,000 | 1 0
11,645 | 0 1
116 | 0 1
117 | 0 1
118 | 0 1
12 | 0 1
12,000 | 0 1
121 | 0 1
13 | 0 2
132 | 0 1
14 | 0 1
1400 | 0 1
15 | 0 2
15,201 | 0 1
15,300 | 0 1
155 | 0 1
16 | 0 4
17 | 0 4
173rd | 0 1
18 | 0 3
186 | 0 1
187,500 | 0 1
19 | 0 4
2 | 0 1
2,000 | 0 1
2,500 | 0 1
2,776 | 0 1
20 | 0 2
20,000 | 0 2
200 | 0 1
200,000 | 0 1
20s | 0 1
22 | 0 2
22 million | 0 1
23 | 0 2
24 | 0 2
25 | 0 1
25,000 | 0 1
250 | 0 3
26 | 0 1
260 | 0 1
27 | 0 3
28 | 0 1
29 | 0 2
3 | 0 2
3,896 | 0 1
300 | 0 2
34 | 0 1
35 | 0 1
36 | 0 1
360,000 | 0 1
368 | 1 0
39 | 0 8
39 more | 0 1
4 | 0 2
4,000 | 0 2
40 | 0 1
400,000 | 0 1
450,000 | 0 1
5 million | 0 1
5,000 | 1 0
50 | 1 3
50,000 | 0 2
500 | 0 1
54 | 0 1
58 | 0 2
6 | 0 2
6000 | 0 1
605 | 0 1
65 | 0 2
67 | 0 1
68 | 0 1
7 | 0 1
747 | 0 1
76ers | 0 1
8 | 0 1
8,000 | 0 1
80 | 0 1
818 | 0 1
82 | 0 1
850,000 | 0 1
87 | 0 1
9,174 | 0 1
93 | 0 1
abductors | 0 2
abigail | 0 1
absentee | 9 0
absentees | 1 0
abu | 0 1
abusers | 1 0
academies | 0 1
academy | 1 5
accomplice | 0 1
accountant | 1 6
accountants | 0 1
accused | 0 3
accuser | 0 1
accusers | 0 5
ace | 0 1
acquirers | 0 1
acquisition | 0 2
acquisitions | 2 0
acre | 0 1
acres | 1 2
act | 0 1
activist | 1 6
activists | 6 15
actor | 2 5
actors | 2 10
actress | 0 7
actresses | 0 1
acts | 1 0
addict | 1 0
addicts | 1 0
addition | 0 1
address | 0 2
administration | 4 169
administrations | 0 2
administrator | 0 7
administrators | 1 1
admiral | 0 8
admirals | 0 1
admirer | 0 1
adolescents | 1 0
adult | 9 0
adults | 13 8
adversaries | 4 3
adversary | 1 2
advertisers | 3 4
adviser | 1 23
advisers | 2 23
advisor | 0 6
advisors | 0 9
advocate | 0 4
advocates | 1 7
aerospace | 0 1
afghans | 0 1
afp | 0 1
agencies | 12 31
agency | 8 149
agent | 6 30
agents | 23 58
aggregators | 1 0
aggressor | 1 0
aggressors | 0 1
ahla | 0 1
aid | 0 1
aide | 0 15
aides | 6 39
aids | 0 2
air | 0 11
aircraft | 20 17
airfield | 0 4
airline | 24 31
airliner | 0 1
airliners | 3 0
airlines | 15 16
airmen | 0 1
airplane | 3 4
airplanes | 0 1
airport | 7 56
airports | 9 9
airspace | 0 6
airstrip | 0 2
airway | 1 0
aisles | 0 1
ak | 0 1
al | 0 10
alaska | 0 1
albanians | 1 16
alcoholic | 0 2
aldergrove | 0 1
alisa | 0 1
all | 4 39
alliance | 1 21
alliances | 2 2
allies | 4 45
allison | 0 1
allotments | 0 1
ally | 2 18
allys | 0 1
alternative | 0 1
alumni | 1 6
ambassador | 3 66
ambassadors | 1 3
amber | 0 1
ambulance | 2 3
ambulances | 4 1
americana | 0 1
americans | 17 62
ammo | 0 1
ammunition | 4 7
ammunitions | 0 1
amnesty | 0 2
amounts | 0 1
amputees | 1 0
analyst | 2 58
analysts | 19 116
ancestors | 1 0
anchor | 0 1
anchorman | 0 1
anchors | 0 2
angel | 1 0
angels | 0 2
anlayst | 0 1
anna | 0 5
anniston | 0 1
announcer | 0 4
annuals | 1 0
anthrax | 4 8
anthropologist | 0 2
anthropologists | 1 2
anti | 1 1
anwar | 0 1
any | 11 10
anyone | 0 2
apache | 1 1
apartment | 3 45
apartments | 0 4
appalachians | 1 0
apparatus | 0 1
apples | 1 0
applicant | 2 0
appointees | 0 2
appointments | 0 1
apprentice | 1 0
approaches | 1 1
aqueduct | 0 1
arabs | 0 2
arat | 0 1
arbiters | 0 1
archaeologists | 1 1
archbishop | 0 3
archdiocese | 0 3
archipelago | 0 4
architect | 0 2
architects | 2 0
archives | 0 1
archivist | 0 1
arctic | 0 1
area | 6 177
area.. | 0 1
areas | 14 58
arena | 2 2
aristocracy | 1 0
aristocrat | 1 0
arm | 0 10
armada | 0 1
armaments | 0 2
armies | 2 4
armor | 0 2
arms | 16 3
army | 4 72
arrows | 1 0
arsenal | 0 5
arsonists | 0 1
artery | 0 1
artillery | 18 6
artist | 1 3
artistes | 1 0
artists | 13 4
ash | 0 1
ashcroft | 0 1
assailant | 0 2
assailants | 1 4
assassin | 0 1
assassins | 1 0
assclowns | 0 1
assembly | 2 8
asset | 0 1
assets | 1 7
asshole | 0 1
assistant | 0 8
assistants | 1 4
associate | 0 6
associates | 2 14
association | 0 11
associations | 1 2
assortment | 0 1
astronaut | 0 6
astronauts | 8 8
asylum | 0 1
atheist | 0 1
athlete | 4 7
athletes | 9 5
atrium | 0 1
attache | 0 3
attack | 0 1
attacker | 2 5
attackers | 1 11
attacks | 0 1
attendant | 1 4
attendants | 3 5
attendees | 0 1
attention | 0 1
attic | 0 1
attorney | 4 56
attorney general | 0 18
attorneys | 4 24
attraction | 0 2
atty | 1 0
attys | 0 1
au pair | 0 3
auctioneers | 0 1
audience | 5 29
audiences | 8 1
auditorium | 0 3
auditors | 2 12
august | 0 1
aunt | 0 4
aunts | 0 2
austria | 0 1
author | 0 24
authorities | 16 157
authority | 1 20
authoritys | 0 1
authors | 1 6
auto | 2 2
autobahn | 0 1
automaker | 0 8
automakers | 0 2
automobile | 1 0
automobiles | 1 0
avenues | 0 2
aviation | 1 0
avs | 0 1
axis | 0 4
az | 0 2
aziz | 0 1
babe | 0 2
babies | 18 15
baby | 18 55
babysitter | 1 0
bachelor | 2 1
bachelors | 2 0
bacillus | 1 0
back | 0 2
backer | 0 3
backers | 1 4
backfield | 0 2
backs | 0 5
backyard | 0 1
bag | 0 2
bagdad | 0 1
baghdad | 0 22
baghdad.judy .. | 0 1
bairnts | 0 1
balconies | 0 1
balcony | 0 1
balkans | 0 1
balloonists | 0 1
ballparks | 0 1
ballroom | 0 2
band | 4 10
bands | 3 6
bank | 16 57
banker | 2 10
bankers | 4 11
banks | 37 47
bar | 3 7
barb | 0 13
barber | 0 1
barbie | 0 1
barents | 0 1
barge | 0 1
baron | 2 2
barons | 1 0
barrack | 0 1
barracks | 1 7
barricade | 0 2
barrier | 0 1
bars | 1 0
base | 3 70
baseball | 0 2
baseman | 2 1
basement | 1 2
bases | 7 23
basilica | 0 1
basketball | 0 1
bastions | 1 0
bathroom | 1 0
bathrooms | 1 0
baton | 0 2
battalion | 0 1
batters | 0 1
battery | 0 1
battle | 0 1
battlefield | 1 1
battleground | 2 0
battlegrounds | 0 1
bay | 0 4
beach | 1 3
beaches | 0 1
beagle | 0 1
beams | 2 0
bear | 0 1
bearer | 1 0
bears | 0 1
beavers | 0 1
bed | 0 3
bedroom | 0 2
bedrooms | 2 0
beef | 1 0
beekeeper | 0 1
behemoth | 2 0
being | 1 3
beings | 4 0
belfast | 0 1
belgium | 0 1
believer | 0 1
believers | 1 0
bells | 0 3
beloved | 0 1
belt | 0 2
ben | 0 33
bench | 0 1
benefactor | 0 1
benefactors | 0 2
best | 2 5
bg | 0 1
bi | 0 1
bicycle | 0 1
bicycles | 0 1
bidder | 1 0
bidders | 2 1
big four | 0 1
bill | 0 25
billion | 1 0
bin | 0 2
biographer | 0 2
biologist | 0 1
birthplace | 0 2
bishop | 0 5
bishops | 2 2
bistros | 0 1
bitches | 0 1
black | 0 1
blacks | 8 8
blind | 0 1
blinder | 0 1
bloc | 1 5
block | 1 11
blocks | 1 2
blocs | 0 4
bloglines | 0 2
blonde | 0 1
blue | 0 2
bluefield | 0 1
bluffs | 0 2
board | 16 109
boards | 2 12
boat | 1 15
boats | 1 5
bob | 0 32
bodies | 8 98
body | 10 82
bodyguard | 2 7
bodyguards | 6 10
bomb | 11 19
bombees | 1 0
bomber | 0 17
bombers | 5 20
bomblet | 1 0
bomblets | 0 10
bombs | 8 17
bombshell | 0 1
bonds | 0 10
bookmakers | 0 4
books | 0 1
bookseller | 1 1
booksellers | 1 0
bookstore | 1 0
bookstores | 1 1
boon | 0 2
booster | 0 2
boosters | 0 1
booth | 0 1
booths | 0 1
bordello | 0 1
border | 1 53
borderline | 0 1
borders | 4 5
born | 0 1
borough | 1 1
bosley | 0 1
bosnia | 0 1
boss | 4 13
bosses | 1 3
both | 0 24
bottom | 1 7
boulevard | 0 1
boulevards | 2 0
boundary | 0 2
boutiques | 2 0
bowels | 0 1
bows | 1 0
box | 0 2
boxer | 0 2
boxers | 1 0
boxes | 1 0
boy | 5 40
boyfriend | 0 6
boys | 10 11
brad | 0 2
branch | 1 9
branches | 2 8
brand | 0 3
brandy | 0 1
braves | 0 1
brazos | 0 1
breadwinners | 1 0
breaker | 1 0
breakers | 0 1
brewer | 0 1
bride | 0 6
brides | 1 0
bridge | 3 23
bridge.. | 0 1
bridges | 1 7
bridgestone | 0 1
brig | 0 2
brigade | 0 1
brigades | 1 4
britains | 1 0
broadcaster | 0 1
broadcasters | 0 2
broadcasting | 0 1
broker | 0 6
brokerages | 0 1
brokers | 1 2
broncos | 0 4
